Dataset:              Infaunal Abundance - Summary by Station and Taxon
File Name:            CP_BEN_T.txt
Date Created:         01OCT1999
# Variables:          7
# Header Records:     17
# Data Records:       6596
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxonomic Code
              N_GRABS      Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SD_ABN       Std. dev. of abundance

STA_NAME;DATE;COD_EMAP;N_GRABS;T_ABN;M_ABN;SD_ABN
CP94042;940810;OXYUSMIT;2;3;1.50;0.71
CP94042;940810;PARAPINN;2;2;1.00;0.00
CP94042;940810;PARVMULT;2;91;45.50;9.19
CP94042;940810;PHORXSPP;2;6;3.00;1.41
CP94042;940810;PSEUAMBI;2;5;2.50;2.12
CP94042;940810;SPIOBOMB;2;2;1.00;0.00
CP94042;940810;SPIOOCUL;2;5;2.50;0.71
CP94042;940810;TAGEDIVI;1;1;1.00;.
CP94042;940810;TELLAGIL;2;26;13.00;5.66
CP94042;940810;XXXXNEME;2;10;5.00;4.24
CP94042;940810;XXXXNERE;1;1;1.00;.
CP94042;940810;XXXXOLIG;2;12;6.00;1.41
CP94043;940823;MULILATE;1;1;1.00;.
CP94043;940823;PARAPINN;1;2;2.00;.
CP94043;940823;STREBENE;2;13;6.50;3.54
CP94044;940809;ACANMILL;2;84;42.00;12.73
CP94044;940809;ACTECANA;2;54;27.00;8.49
CP94044;940809;AMAKMAGN;2;2;1.00;0.00
CP94044;940809;APOPPYGM;1;2;2.00;.
CP94044;940809;GEMMGEMM;1;1;1.00;.
CP94044;940809;HAMISOLI;1;1;1.00;.
CP94044;940809;LEITXSPP;2;26;13.00;2.83
CP94044;940809;LISTBARN;2;2;1.00;0.00
CP94044;940809;MEDIAMBI;1;1;1.00;.
CP94044;940809;MESOTAYL;1;1;1.00;.
CP94044;940809;MULILATE;1;1;1.00;.
CP94044;940809;PARAFULG;1;3;3.00;.
CP94044;940809;PARATENU;1;1;1.00;.
CP94044;940809;PARVMULT;2;18;9.00;4.24
CP94044;940809;SACCKOWA;1;1;1.00;.
CP94044;940809;SPIOBOMB;2;3;1.50;0.71
CP94044;940809;SPIOOCUL;1;1;1.00;.
CP94044;940809;SYNCAMER;1;1;1.00;.
CP94044;940809;TELLAGIL;2;5;2.50;0.71
CP94044;940809;XXXXCIRR;2;2;1.00;0.00
CP94044;940809;XXXXNEME;2;2;1.00;0.00
CP94044;940809;XXXXOLIG;2;2;1.00;0.00
CP94045;940809;ACTECANA;2;95;47.50;17.68
CP94045;940809;AMPEVERR;2;11;5.50;2.12
CP94045;940809;CARAHOBS;1;11;11.00;.
CP94045;940809;CAULXSPP;1;1;1.00;.
CP94045;940809;CREPMACU;2;6;3.00;1.41
CP94045;940809;EDOTTRIL;2;4;2.00;1.41
CP94045;940809;EULIENGO;1;1;1.00;.
CP94045;940809;GLYCDIBR;1;1;1.00;.
CP94045;940809;GLYCSOLI;2;9;4.50;2.12
CP94045;940809;HAMISOLI;2;4;2.00;1.41
CP94045;940809;HETEFILI;1;1;1.00;.
CP94045;940809;LEITXSPP;2;2;1.00;0.00
CP94045;940809;LEPTTENU;2;3;1.50;0.71
CP94045;940809;LISTBARN;1;1;1.00;.
CP94045;940809;MEDIAMBI;2;22;11.00;7.07
CP94045;940809;MICRRANE;1;1;1.00;.
CP94045;940809;MULILATE;2;7;3.50;2.12
CP94045;940809;MYSIBIGE;2;5;2.50;0.71
CP94045;940809;NEANSUCC;2;2;1.00;0.00
CP94045;940809;NOTOXSPP;1;2;2.00;.
CP94045;940809;OXYUSMIT;1;1;1.00;.
CP94045;940809;PARAPINN;2;3;1.50;0.71
CP94045;940809;PARVMULT;2;70;35.00;1.41
CP94045;940809;PECTGOUL;1;1;1.00;.
CP94045;940809;PODALEVI;1;1;1.00;.
CP94045;940809;PRIOHETE;2;24;12.00;7.07
CP94045;940809;SACCKOWA;1;1;1.00;.
CP94045;940809;SPIOOCUL;2;4;2.00;0.00
CP94045;940809;STREBENE;2;6;3.00;1.41
CP94045;940809;TELLAGIL;2;16;8.00;7.07
CP94045;940809;TURBINTE;1;1;1.00;.
CP94045;940809;XXXXNEME;2;11;5.50;0.71
CP94045;940809;XXXXOLIG;2;19;9.50;2.12
CP94045;940809;XXXXSPIR;1;8;8.00;.
CP94045;940809;XXXXSYLL;1;2;2.00;.
CP94046;940817;ACTECANA;2;2;1.00;0.00
CP94046;940817;ETEOHETE;2;3;1.50;0.71
CP94046;940817;EULIENGO;1;1;1.00;.
CP94046;940817;GEMMGEMM;1;2;2.00;.
CP94046;940817;GLYCDIBR;1;1;1.00;.
CP94046;940817;GLYCSOLI;2;5;2.50;0.71
CP94046;940817;HETEFILI;2;11;5.50;3.54
CP94046;940817;LEITXSPP;2;4;2.00;1.41
CP94046;940817;LOIMMEDU;1;1;1.00;.
CP94046;940817;MACOBALT;1;1;1.00;.
CP94046;940817;MEDIAMBI;2;30;15.00;5.66
CP94046;940817;MOLGMANH;1;5;5.00;.
CP94046;940817;MONOXSPP;1;1;1.00;.
CP94046;940817;MULILATE;2;7;3.50;2.12
CP94046;940817;MYSIBIGE;1;1;1.00;.
CP94046;940817;OXYUSMIT;1;3;3.00;.
CP94046;940817;PARAPINN;2;5;2.50;2.12
CP94046;940817;PARVMULT;2;3;1.50;0.71
CP94046;940817;PHORXSPP;2;12;6.00;2.83
CP94046;940817;SACCKOWA;2;5;2.50;0.71
CP94046;940817;XXXXNEME;2;14;7.00;5.66
CP94046;940817;XXXXOLIG;1;1;1.00;.
CP94046;940817;XXXXOPHI;1;1;1.00;.
CP94046;940817;XXXXSIPU;1;2;2.00;.
CP94046;940817;XXXXTURB;1;1;1.00;.
CP94047;940816;GLYCSOLI;1;1;1.00;.
CP94047;940816;MACOBALT;2;8;4.00;1.41
CP94047;940816;MEDIAMBI;2;276;138.00;90.51
CP94047;940816;NEANSUCC;1;1;1.00;.
CP94047;940816;PARAPINN;1;1;1.00;.
CP94047;940816;STREBENE;2;26;13.00;15.56
CP94047;940816;XXXXNEME;1;2;2.00;.
CP94047;940816;XXXXOLIG;2;73;36.50;23.33
CP94048;940818;LEITXSPP;1;1;1.00;.
CP94048;940818;MULILATE;1;2;2.00;.
CP94048;940818;SIGATENT;1;1;1.00;.
CP94048;940818;XXXXHEMI;1;1;1.00;.
CP94049;940817;ACTECANA;1;4;4.00;.
CP94049;940817;ETEOHETE;1;1;1.00;.
CP94049;940817;GLYCSOLI;1;3;3.00;.
CP94049;940817;HETEFILI;2;4;2.00;1.41
CP94049;940817;LOIMMEDU;2;2;1.00;0.00
CP94049;940817;MEDIAMBI;2;38;19.00;2.83
CP94049;940817;MONOXSPP;1;1;1.00;.
CP94049;940817;MULILATE;2;24;12.00;11.31
CP94049;940817;PARAPINN;2;6;3.00;1.41
CP94049;940817;PHORXSPP;2;3;1.50;0.71
CP94049;940817;SPIOBOMB;1;1;1.00;.
CP94049;940817;TELLAGIL;2;8;4.00;2.83
CP94049;940817;XXXXNEME;1;1;1.00;.
CP94049;940817;XXXXNERE;1;1;1.00;.
CP94050;940818;ACTECANA;1;1;1.00;.
CP94050;940818;MAGEXSPP;2;10;5.00;0.00
CP94050;940818;MEDIAMBI;2;9;4.50;0.71
CP94050;940818;OGYRALPH;1;1;1.00;.
CP94050;940818;PINNXSPP;1;3;3.00;.
CP94050;940818;PSEUAMBI;2;4;2.00;1.41
CP94050;940818;SIGATENT;2;4;2.00;1.41
CP94050;940818;XXXXNEME;2;8;4.00;1.41
CP94051;940816;SPIOBOMB;1;1;1.00;.
CP94051;940816;XXXXCAPI;1;1;1.00;.
CP94052;940816; ;3;0;0.00;0.00
CP94053;940816;MEDIAMBI;2;22;11.00;9.90
CP94053;940816;STREBENE;1;2;2.00;.
CP94053;940816;XXXXCHIR;1;2;2.00;.
CP94053;940816;XXXXOLIG;2;157;78.50;55.86
CP94054;940819;ERICATTE;1;4;4.00;.
CP94054;940819;MACOBALT;2;38;19.00;0.00
CP94054;940819;MACOMITC;2;25;12.50;2.12
CP94054;940819;MEDIAMBI;2;233;116.50;44.55
CP94054;940819;NEANSUCC;1;1;1.00;.
CP94054;940819;STREBENE;2;2;1.00;0.00
CP94054;940819;XXXXCHIR;2;54;27.00;4.24
CP94054;940819;XXXXNEME;1;2;2.00;.
CP94054;940819;XXXXOLIG;2;26;13.00;7.07
CP94054;940819;XXXXTANA;1;1;1.00;.
CP94055;940802;ACTECANA;2;31;15.50;2.12
CP94055;940802;ANCICARO;1;1;1.00;.
CP94055;940802;CYRTCOST;1;4;4.00;.
CP94055;940802;GLYCSOLI;1;1;1.00;.
CP94055;940802;LEUCAMER;2;3;1.50;0.71
CP94055;940802;MEDIAMBI;2;71;35.50;17.68
CP94055;940802;MULILATE;2;25;12.50;0.71
CP94055;940802;PARAPINN;2;15;7.50;3.54
CP94055;940802;PARVMULT;1;1;1.00;.
CP94055;940802;PHORXSPP;2;6;3.00;1.41
CP94055;940802;PSEUAMBI;2;14;7.00;2.83
CP94055;940802;SIGATENT;2;9;4.50;3.54
CP94055;940802;TELLAGIL;1;1;1.00;.
CP94055;940802;XXXXDECA;1;1;1.00;.
CP94055;940802;XXXXNEME;2;42;21.00;4.24
CP94056;940808;ACTECANA;2;30;15.00;9.90
CP94056;940808;AGLAVERR;1;1;1.00;.
CP94056;940808;AMAKMAGN;2;2;1.00;0.00
CP94056;940808;AMPEVERR;1;2;2.00;.
CP94056;940808;EULIENGO;2;3;1.50;0.71
CP94056;940808;LEITXSPP;1;1;1.00;.
CP94056;940808;LISTBARN;1;1;1.00;.
CP94056;940808;LOIMMEDU;2;2;1.00;0.00
CP94056;940808;MEDIAMBI;2;9;4.50;2.12
CP94056;940808;MULILATE;2;14;7.00;2.83
CP94056;940808;PARAPINN;1;8;8.00;.
CP94056;940808;PARVMULT;2;61;30.50;6.36
CP94056;940808;PHORXSPP;2;37;18.50;6.36
CP94056;940808;PSEUAMBI;1;1;1.00;.
CP94056;940808;RICTPUNC;1;1;1.00;.
CP94056;940808;SPIOBOMB;1;1;1.00;.
CP94056;940808;SPIOOCUL;1;1;1.00;.
CP94056;940808;XXXXNEME;2;8;4.00;2.83
CP94056;940808;XXXXORBI;1;1;1.00;.
CP94056;940808;XXXXSIPU;1;1;1.00;.
CP94057;940802;ACTECANA;2;14;7.00;0.00
CP94057;940802;AMPEVADO;2;2;1.00;0.00
CP94057;940802;AMPEVERR;1;1;1.00;.
CP94057;940802;CAPIJONE;1;1;1.00;.
CP94057;940802;CARAHOBS;1;9;9.00;.
CP94057;940802;CYCLVARI;1;4;4.00;.
CP94057;940802;EDOTTRIL;2;6;3.00;2.83
CP94057;940802;EULIENGO;2;15;7.50;0.71
CP94057;940802;GAMMPALU;1;1;1.00;.
CP94057;940802;GLYCSOLI;2;5;2.50;0.71
CP94057;940802;LEITXSPP;2;6;3.00;2.83
CP94057;940802;LOIMMEDU;2;21;10.50;2.12
CP94057;940802;MEDIAMBI;2;268;134.00;45.25
CP94057;940802;MICRRANE;1;6;6.00;.
CP94057;940802;MOLGMANH;1;42;42.00;.
CP94057;940802;MONOXSPP;1;4;4.00;.
CP94057;940802;MULILATE;2;10;5.00;1.41
CP94057;940802;NEANSUCC;1;2;2.00;.
CP94057;940802;OXYUSMIT;2;2;1.00;0.00
CP94057;940802;PARAPINN;2;9;4.50;2.12
CP94057;940802;PARATENU;1;13;13.00;.
CP94057;940802;PHORXSPP;2;107;53.50;6.36
CP94057;940802;PSEUAMBI;1;3;3.00;.
CP94057;940802;RICTPUNC;1;1;1.00;.
CP94057;940802;SACCKOWA;1;3;3.00;.
CP94057;940802;SCOLRUBR;1;1;1.00;.
CP94057;940802;SIGATENT;2;3;1.50;0.71
CP94057;940802;STREBENE;1;9;9.00;.
CP94057;940802;TELLAGIL;1;5;5.00;.
CP94057;940802;XXXXCIRR;1;2;2.00;.
CP94057;940802;XXXXHEMI;1;3;3.00;.
CP94057;940802;XXXXMYTI;2;5;2.50;2.12
CP94057;940802;XXXXNEME;2;15;7.50;4.95
CP94057;940802;XXXXOPHI;1;1;1.00;.
CP94058;940807;ACTECANA;2;30;15.00;7.07
CP94058;940807;AMPEVERR;1;1;1.00;.
CP94058;940807;EULIENGO;2;4;2.00;1.41
CP94058;940807;GLYCDIBR;1;3;3.00;.
CP94058;940807;GLYCSOLI;1;4;4.00;.
CP94058;940807;LEITXSPP;1;1;1.00;.
CP94058;940807;LEPTTENU;1;2;2.00;.
CP94058;940807;LOIMMEDU;2;4;2.00;1.41
CP94058;940807;MEDIAMBI;2;19;9.50;4.95
CP94058;940807;MICRRANE;1;1;1.00;.
CP94058;940807;MULILATE;2;5;2.50;0.71
CP94058;940807;PARAPINN;2;14;7.00;1.41
CP94058;940807;PARVMULT;2;15;7.50;0.71
CP94058;940807;PHORXSPP;2;35;17.50;2.12
CP94058;940807;RICTPUNC;1;1;1.00;.
CP94058;940807;SCOLRUBR;2;2;1.00;0.00
CP94058;940807;SPIOBOMB;1;2;2.00;.
CP94058;940807;XXXXNEME;2;12;6.00;1.41
CP94059;940808;ACANMILL;2;26;13.00;2.83
CP94059;940808;ACTECANA;2;6;3.00;1.41
CP94059;940808;EDOTTRIL;1;1;1.00;.
CP94059;940808;EULIENGO;2;2;1.00;0.00
CP94059;940808;GLYCSOLI;2;3;1.50;0.71
CP94059;940808;HAMISOLI;2;12;6.00;2.83
CP94059;940808;LEITXSPP;2;12;6.00;4.24
CP94059;940808;MEDIAMBI;1;2;2.00;.
CP94059;940808;MONOXSPP;1;1;1.00;.
CP94059;940808;MULILATE;2;12;6.00;1.41
CP94059;940808;PARVMULT;1;1;1.00;.
CP94059;940808;PHORXSPP;1;1;1.00;.
CP94059;940808;SCOLETEX;2;2;1.00;0.00
CP94059;940808;SIGATENT;1;1;1.00;.
CP94059;940808;SPIOBOMB;2;5;2.50;0.71
CP94059;940808;STREBENE;2;7;3.50;3.54
CP94059;940808;TELLAGIL;2;4;2.00;1.41
CP94059;940808;XXXXBIVA;1;2;2.00;.
CP94059;940808;XXXXSIPU;1;1;1.00;.
CP94060;940806;ACTECANA;2;5;2.50;2.12
CP94060;940806;CYCLVARI;1;1;1.00;.
CP94060;940806;ETEOHETE;1;1;1.00;.
CP94060;940806;GLYCSOLI;2;11;5.50;0.71
CP94060;940806;HETEFILI;1;1;1.00;.
CP94060;940806;MACOMITC;1;5;5.00;.
CP94060;940806;MEDIAMBI;2;15;7.50;6.36
CP94060;940806;MULILATE;2;48;24.00;5.66
CP94060;940806;NEANSUCC;1;3;3.00;.
CP94060;940806;RICTPUNC;1;9;9.00;.
CP94060;940806;STREBENE;2;29;14.50;4.95
CP94060;940806;TELLAGIL;1;16;16.00;.
CP94060;940806;XXXXNEME;2;2;1.00;0.00
CP94060;940806;XXXXOLIG;1;75;75.00;.
CP94061;940717;ALMYPROX;2;2;1.00;0.00
CP94061;940717;CHIRALMY;1;1;1.00;.
CP94061;940717;CHIRXSP2;2;17;8.50;4.95
CP94061;940717;CHIRXSPP;1;2;2.00;.
CP94061;940717;CYATPOLI;1;1;1.00;.
CP94061;940717;EDOTTRIL;1;1;1.00;.
CP94061;940717;HABESPEC;2;59;29.50;0.71
CP94061;940717;LEPTPLUM;1;3;3.00;.
CP94061;940717;LIMNHOFF;2;18;9.00;1.41
CP94061;940717;MAREVIRI;2;11;5.50;0.71
CP94061;940717;MULILATE;1;22;22.00;.
CP94061;940717;POLYCORN;1;2;2.00;.
CP94061;940717;PROCXSPP;1;1;1.00;.
CP94061;940717;RANGCUNE;1;1;1.00;.
CP94061;940717;XXXXTUBI;2;24;12.00;0.00
CP94062;940716;CHIRXSP2;2;6;3.00;1.41
CP94062;940716;COELXSPP;1;4;4.00;.
CP94062;940716;LIMNHOFF;1;1;1.00;.
CP94062;940716;RANGCUNE;2;2;1.00;0.00
CP94062;940716;TUBIHETE;1;1;1.00;.
CP94062;940716;XXXXTUBI;2;10;5.00;4.24
CP94063;940716;CHAOPUNC;1;2;2.00;.
CP94063;940716;CHIRXSPP;1;1;1.00;.
CP94063;940716;CLADXSPP;1;3;3.00;.
CP94063;940716;CYATPOLI;2;10;5.00;2.83
CP94063;940716;HABESPEC;2;13;6.50;3.54
CP94063;940716;LEPIDYTI;1;1;1.00;.
CP94063;940716;LEPTPLUM;1;3;3.00;.
CP94063;940716;MAREVIRI;2;10;5.00;1.41
CP94063;940716;MONOEDWA;1;2;2.00;.
CP94063;940716;POLYHALT;1;3;3.00;.
CP94063;940716;XXXXCHIR;1;9;9.00;.
CP94063;940716;XXXXTUBI;2;5;2.50;0.71
CP94064;940715;LAEOCULV;2;4;2.00;0.00
CP94064;940715;MEDIXSPP;2;6;3.00;0.00
CP94064;940715;STREBENE;1;1;1.00;.
CP94064;940715;TUBIHETE;2;6;3.00;0.00
CP94065;940715;ALMYPROX;1;2;2.00;.
CP94065;940715;CHIRXSP2;1;1;1.00;.
CP94065;940715;CLADXSPP;2;44;22.00;8.49
CP94065;940715;COELXSPP;1;1;1.00;.
CP94065;940715;CRYPXSPP;2;5;2.50;2.12
CP94065;940715;CYATPOLI;2;8;4.00;4.24
CP94065;940715;ISOCFREY;1;4;4.00;.
CP94065;940715;ISOCHETE;1;1;1.00;.
CP94065;940715;LIMNHOFF;1;3;3.00;.
CP94065;940715;MAREVIRI;1;1;1.00;.
CP94065;940715;POLYHALT;1;1;1.00;.
CP94065;940715;RANGCUNE;1;20;20.00;.
CP94065;940715;XXXXTUBI;2;63;31.50;28.99
CP94066;940717;CHIRXSP2;2;23;11.50;3.54
CP94066;940717;TUBIHETE;2;17;8.50;4.95
CP94067;940717;AULOPIGU;2;94;47.00;49.50
CP94067;940717;CHIRXSP2;2;15;7.50;7.78
CP94067;940717;CLADXSPP;1;1;1.00;.
CP94067;940717;COELXSPP;2;41;20.50;21.92
CP94067;940717;CRYPXSPP;1;1;1.00;.
CP94067;940717;DERODIGI;1;13;13.00;.
CP94067;940717;LIMNHOFF;2;50;25.00;25.46
CP94067;940717;MEDIAMBI;1;1;1.00;.
CP94067;940717;PALPXXSP;1;10;10.00;.
CP94067;940717;PROCXSPP;2;4;2.00;0.00
CP94067;940717;TANYSTEL;1;1;1.00;.
CP94067;940717;TANYXSPP;1;4;4.00;.
CP94067;940717;XXXXMYSI;1;1;1.00;.
CP94067;940717;XXXXTUBI;2;419;209.50;120.92
CP94068;940714;CAPICAPI;1;2;2.00;.
CP94068;940714;CRYPXSPP;1;2;2.00;.
CP94068;940714;CYATPOLI;2;4;2.00;1.41
CP94068;940714;ETEOHETE;1;1;1.00;.
CP94068;940714;HABESPEC;1;14;14.00;.
CP94068;940714;LAEOCULV;2;21;10.50;2.12
CP94068;940714;LEPTPLUM;2;10;5.00;1.41
CP94068;940714;MAREVIRI;2;114;57.00;0.00
CP94068;940714;MEDIXSPP;1;1;1.00;.
CP94068;940714;MULILATE;2;31;15.50;6.36
CP94068;940714;MYSIALMY;1;1;1.00;.
CP94068;940714;POLYHALT;1;1;1.00;.
CP94068;940714;TELLXSP1;2;112;56.00;14.14
CP94068;940714;TUBIHETE;2;4;2.00;1.41
CP94068;940714;XXXXTUBI;1;4;4.00;.
CP94069;940715;CHIRXSP2;2;5;2.50;0.71
CP94069;940715;COELXSPP;2;4;2.00;1.41
CP94069;940715;MEDIXSPP;2;129;64.50;27.58
CP94069;940715;MULILATE;1;2;2.00;.
CP94069;940715;XXXXBIVA;1;1;1.00;.
CP94070;940714;CYATPOLI;2;4;2.00;1.41
CP94070;940714;HABESPEC;2;3;1.50;0.71
CP94070;940714;LAEOCULV;2;9;4.50;3.54
CP94070;940714;LEPIDYTI;2;43;21.50;6.36
CP94070;940714;MAREVIRI;2;41;20.50;6.36
CP94070;940714;MONOEDWA;1;2;2.00;.
CP94070;940714;MULILATE;1;1;1.00;.
CP94070;940714;POLYHALT;1;1;1.00;.
CP94070;940714;TELLXSPP;1;2;2.00;.
CP94070;940714;XXXXTELL;1;1;1.00;.
CP94071;940713;ALMYPROX;1;1;1.00;.
CP94071;940713;AMPHSCAP;1;4;4.00;.
CP94071;940713;AULOPIGU;1;71;71.00;.
CP94071;940713;CHIR1SPP;1;18;18.00;.
CP94071;940713;COELXSPP;2;16;8.00;9.90
CP94071;940713;CRYPXSPP;1;1;1.00;.
CP94071;940713;CYATPOLI;3;29;9.67;6.51
CP94071;940713;EDOTTRIL;3;5;1.67;0.58
CP94071;940713;GAMMPALU;1;7;7.00;.
CP94071;940713;GAMMTIGR;1;6;6.00;.
CP94071;940713;GAMMXSPP;1;2;2.00;.
CP94071;940713;HOBSFLOR;2;20;10.00;11.31
CP94071;940713;LEPTPLUM;2;20;10.00;5.66
CP94071;940713;LIMNHOFF;2;25;12.50;2.12
CP94071;940713;MAREVIRI;3;185;61.67;20.03
CP94071;940713;MONOEDWA;1;1;1.00;.
CP94071;940713;MULILATE;2;30;15.00;5.66
CP94071;940713;PALPXXSP;1;1;1.00;.
CP94071;940713;POLYHALT;2;4;2.00;0.00
CP94071;940713;PROCXSPP;1;1;1.00;.
CP94071;940713;XXXXTUBI;3;268;89.33;16.80
CP94072;940712;AULOPIGU;1;6;6.00;.
CP94072;940712;CHIRALMY;1;1;1.00;.
CP94072;940712;CHIRXSP2;2;11;5.50;2.12
CP94072;940712;COELXSPP;2;31;15.50;12.02
CP94072;940712;CYATPOLI;2;4;2.00;0.00
CP94072;940712;GAMMTIGR;1;1;1.00;.
CP94072;940712;LIMNHOFF;2;11;5.50;4.95
CP94072;940712;PARALITO;1;1;1.00;.
CP94072;940712;PROCXSPP;1;2;2.00;.
CP94072;940712;RANGCUNE;1;1;1.00;.
CP94072;940712;SPHAXXSP;1;2;2.00;.
CP94072;940712;TANYXSPP;1;3;3.00;.
CP94072;940712;XXXXTUBI;2;108;54.00;52.33
CP94073;940825;AMPEVADO;2;20;10.00;12.73
CP94073;940825;AMPEXSPP;2;17;8.50;10.61
CP94073;940825;ANCIHART;1;1;1.00;.
CP94073;940825;APHEMARI;1;2;2.00;.
CP94073;940825;ARABIRIC;2;6;3.00;1.41
CP94073;940825;BATECATH;1;11;11.00;.
CP94073;940825;BHAWHETE;2;6;3.00;2.83
CP94073;940825;BIFFBIFO;1;1;1.00;.
CP94073;940825;BRANWELL;2;28;14.00;14.14
CP94073;940825;CALLMAJO;1;1;1.00;.
CP94073;940825;CORBCONT;1;1;1.00;.
CP94073;940825;CRASLUNU;1;7;7.00;.
CP94073;940825;CREPMACU;1;1;1.00;.
CP94073;940825;CYATBURB;2;16;8.00;5.66
CP94073;940825;DIOPCUPR;1;1;1.00;.
CP94073;940825;DIPOCAUL;1;2;2.00;.
CP94073;940825;DIPOSOCI;1;1;1.00;.
CP94073;940825;DORVRUDO;1;2;2.00;.
CP94073;940825;ENOPSANG;2;2;1.00;0.00
CP94073;940825;EUMISANG;1;6;6.00;.
CP94073;940825;EUPLCAUD;1;1;1.00;.
CP94073;940825;EUPOXSPP;1;2;2.00;.
CP94073;940825;EXOGDISP;2;98;49.00;12.73
CP94073;940825;GLYCAMER;1;1;1.00;.
CP94073;940825;GLYCXSPP;1;1;1.00;.
CP94073;940825;GONICARO;1;1;1.00;.
CP94073;940825;HETEFILI;1;1;1.00;.
CP94073;940825;HEXAANGU;2;4;2.00;0.00
CP94073;940825;HIATARCT;2;7;3.50;3.54
CP94073;940825;HYDRDIAN;1;1;1.00;.
CP94073;940825;LEITFRAG;1;1;1.00;.
CP94073;940825;LIBIEMAR;1;1;1.00;.
CP94073;940825;LISTBARN;1;2;2.00;.
CP94073;940825;MEDIXSPP;2;53;26.50;14.85
CP94073;940825;MONTDORS;2;19;9.50;7.78
CP94073;940825;NUCUPROX;2;29;14.50;0.71
CP94073;940825;PAGUXXSP;1;1;1.00;.
CP94073;940825;PARPLONG;2;65;32.50;17.68
CP94073;940825;PINNXSPP;2;6;3.00;1.41
CP94073;940825;PIONXSP1;1;4;4.00;.
CP94073;940825;PIONXXSP;1;1;1.00;.
CP94073;940825;PODALEVI;2;2;1.00;0.00
CP94073;940825;PODAOBSC;1;1;1.00;.
CP94073;940825;POECJOHN;2;20;10.00;4.24
CP94073;940825;POLYCORN;1;1;1.00;.
CP94073;940825;POLYCSPP;2;3;1.50;0.71
CP94073;940825;POLYHART;2;14;7.00;8.49
CP94073;940825;PRIOPERK;1;2;2.00;.
CP94073;940825;SABEVULG;2;8;4.00;4.24
CP94073;940825;SCOLTENU;2;4;2.00;1.41
CP94073;940825;SEILADAM;1;1;1.00;.
CP94073;940825;SPHAPERK;1;3;3.00;.
CP94073;940825;SPHATAYL;2;5;2.50;2.12
CP94073;940825;SPIOBOMB;2;4;2.00;0.00
CP94073;940825;STREBENE;2;33;16.50;12.02
CP94073;940825;STREPETT;1;5;5.00;.
CP94073;940825;SYLLALTE;1;2;2.00;.
CP94073;940825;SYLLCORN;1;18;18.00;.
CP94073;940825;SYLLXXSP;1;2;2.00;.
CP94073;940825;THARXSPP;1;2;2.00;.
CP94073;940825;THYOGEMM;1;3;3.00;.
CP94073;940825;UNCISERR;1;5;5.00;.
CP94073;940825;XXX1AMPH;1;1;1.00;.
CP94073;940825;XXX3AMPH;1;2;2.00;.
CP94073;940825;XXXXANTH;2;26;13.00;9.90
CP94073;940825;XXXXBIVA;2;4;2.00;0.00
CP94073;940825;XXXXCAEC;1;3;3.00;.
CP94073;940825;XXXXGAST;1;2;2.00;.
CP94073;940825;XXXXMELI;1;1;1.00;.
CP94073;940825;XXXXNEMA;2;201;100.50;44.55
CP94073;940825;XXXXNEME;2;12;6.00;4.24
CP94073;940825;XXXXNUDI;1;1;1.00;.
CP94073;940825;XXXXOLIG;2;54;27.00;19.80
CP94073;940825;XXXXOPHI;1;2;2.00;.
CP94073;940825;XXXXPHOL;1;4;4.00;.
CP94073;940825;XXXXSYLL;2;3;1.50;0.71
CP94073;940825;XXXXXANT;2;6;3.00;0.00
CP94074;940824;ABRAAEQU;2;4;2.00;1.41
CP94074;940824;ACTECANA;1;2;2.00;.
CP94074;940824;AMPEVERR;2;3;1.50;0.71
CP94074;940824;APHEMARI;2;9;4.50;3.54
CP94074;940824;ARICWASS;2;6;3.00;2.83
CP94074;940824;ARMAMACU;1;1;1.00;.
CP94074;940824;BATECATH;2;2;1.00;0.00
CP94074;940824;BIFFBIFO;2;4;2.00;0.00
CP94074;940824;CIRRBRAN;1;1;1.00;.
CP94074;940824;DRILLONG;1;1;1.00;.
CP94074;940824;ENOPXXSP;1;1;1.00;.
CP94074;940824;EUDEHOND;1;1;1.00;.
CP94074;940824;GLYCAMER;2;3;1.50;0.71
CP94074;940824;GLYCSOLI;2;6;3.00;2.83
CP94074;940824;GLYCXSPP;1;2;2.00;.
CP94074;940824;GONIXXSP;1;1;1.00;.
CP94074;940824;LEITFOLI;1;1;1.00;.
CP94074;940824;LEITFRAG;1;1;1.00;.
CP94074;940824;LEPISUBL;1;1;1.00;.
CP94074;940824;LEPTTENU;1;1;1.00;.
CP94074;940824;LOIMVIRI;1;1;1.00;.
CP94074;940824;MAGEPHYL;2;4;2.00;0.00
CP94074;940824;MALMXXSP;2;11;5.50;3.54
CP94074;940824;MEDIXSPP;2;53;26.50;0.71
CP94074;940824;MICRGRAC;2;22;11.00;1.41
CP94074;940824;MONTDORS;2;17;8.50;2.12
CP94074;940824;NASSACUT;1;2;2.00;.
CP94074;940824;NEANSUCC;2;11;5.50;2.12
CP94074;940824;NOTOLATE;1;1;1.00;.
CP94074;940824;NOTOSPIN;1;1;1.00;.
CP94074;940824;OWENFUSI;1;2;2.00;.
CP94074;940824;PECTGOUL;1;1;1.00;.
CP94074;940824;PINNCHAE;1;1;1.00;.
CP94074;940824;PINNXSPP;2;2;1.00;0.00
